utc_timestamp,IT_load_new,IT_solar_generation
2016-01-01T00:00:00Z,21665,1
2016-01-01T01:00:00Z,20260,0
2016-01-01T02:00:00Z,19056,0
2016-01-01T03:00:00Z,18407,0
2016-01-01T04:00:00Z,18425,0
2016-01-01T05:00:00Z,19261,0
2016-01-01T06:00:00Z,19673,49
2016-01-01T07:00:00Z,19927,576
2016-01-01T08:00:00Z,21403,1926
2016-01-01T09:00:00Z,22819,3271
2016-01-01T10:00:00Z,23995,4082
2016-01-01T11:00:00Z,24516,4245
2016-01-01T12:00:00Z,23206,3643
2016-01-01T13:00:00Z,22244,2344
2016-01-01T14:00:00Z,22551,1093
2016-01-01T15:00:00Z,23949,101
2016-01-01T16:00:00Z,27964,0
2016-01-01T17:00:00Z,28978,0
2016-01-01T18:00:00Z,29504,0
2016-01-01T19:00:00Z,29082,0
2016-01-01T20:00:00Z,27681,1
2016-01-01T21:00:00Z,25626,1
2016-01-01T22:00:00Z,23131,1
2016-01-01T23:00:00Z,21420,0
2016-01-02T00:00:00Z,19651,0
2016-01-02T01:00:00Z,18679,0
2016-01-02T02:00:00Z,18264,0
2016-01-02T03:00:00Z,18346,0
2016-01-02T04:00:00Z,19236,0
2016-01-02T05:00:00Z,21300,0
2016-01-02T06:00:00Z,23333,26
2016-01-02T07:00:00Z,25221,390
2016-01-02T08:00:00Z,27697,1059
2016-01-02T09:00:00Z,28637,1346
2016-01-02T10:00:00Z,29080,1468
2016-01-02T11:00:00Z,29077,1467
2016-01-02T12:00:00Z,28364,1318
2016-01-02T13:00:00Z,27879,666
2016-01-02T14:00:00Z,28269,319
2016-01-02T15:00:00Z,29808,64
2016-01-02T16:00:00Z,33054,29
2016-01-02T17:00:00Z,33860,29
2016-01-02T18:00:00Z,33850,29
2016-01-02T19:00:00Z,31760,29
2016-01-02T20:00:00Z,29295,29
2016-01-02T21:00:00Z,26658,29
2016-01-02T22:00:00Z,24332,29
2016-01-02T23:00:00Z,21855,0
2016-01-03T00:00:00Z,20156,0
2016-01-03T01:00:00Z,19200,0
2016-01-03T02:00:00Z,18603,0
2016-01-03T03:00:00Z,18456,0
2016-01-03T04:00:00Z,18917,0
2016-01-03T05:00:00Z,20148,0
2016-01-03T06:00:00Z,21373,3
2016-01-03T07:00:00Z,22696,378
2016-01-03T08:00:00Z,25152,1348
2016-01-03T09:00:00Z,27044,2339
2016-01-03T10:00:00Z,28325,3729
2016-01-03T11:00:00Z,27882,3994
2016-01-03T12:00:00Z,25392,2841
2016-01-03T13:00:00Z,23928,1809
2016-01-03T14:00:00Z,24631,975
2016-01-03T15:00:00Z,25801,126
2016-01-03T16:00:00Z,29654,29
2016-01-03T17:00:00Z,31004,29
2016-01-03T18:00:00Z,31209,29
2016-01-03T19:00:00Z,30520,29
2016-01-03T20:00:00Z,28560,29
2016-01-03T21:00:00Z,26171,29
2016-01-03T22:00:00Z,23920,29
2016-01-03T23:00:00Z,21545,1
